שם,תיאור,סוג,שעות פתיחה,כתובת,אתר אינטרנט,טלפון,משלוחים,כשרות,נגישות לנכים,קטגוריה,עיר,אזור,חדש,latitude,longitude
ברוהאוס,מסעדת שף בשרים,בשרים,"א-ה: 12:00-22:00
שישי: 12:00-22:00
שבת: 12:00-22:00",אגמון מרקט,agamonmarket.co.il/brewhouse/,04-8129171,ישיבה במסעדה,,Y,מסעדת שף,יסוד המעלה,צפון,N,33.115911,35.573233
פיצה עגבניה ירושלים ,פיצה איטלקית ביתית ,"איטלקי,חלבי","א-ה: א'-ד' 11:00-22:00 ה' 11:00-23:00
שישי: 09:30-13:30
שבת: שעה לאחר צאת השבת - 00:00",דרך חברון 101,agvania.co.il,02-5479090,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,ירושלים,ירושלים,N,31.754802,35.221731
טאטי ,ביסטרו  צרפתי/ איטלקי ,"איטלקי,בית קפה,צרפתי","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",אברהם גירון 3,tatti.co.il,03-5392500,ישיבה במסעדה,,Y,מסעדה,יהוד-מונוסון,מרכז,N,32.027307,34.894786
קפה קפה, בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-00:00
שישי: 08:00-15:00
שבת: שעה לאח צאת השבת - 00:00",דרך חברון 133,www.cafecafe.co.il,08-6607870,ישיבה במסעדה,כן,Y,בית קפה,באר שבע,דרום,N,31.241458,34.803549
בית הפנקייק המקורי ,אתר חומרי גלם להכנת פנקייקים ,מתוקים-קינוחים,"א-ה: חנות אינטרנטית - משלוחים לכל הארץ
שישי: 
שבת: ",חנות אינטרנטית,p4u.co.il,050-6507991,משלוחים,,N,מסעדה,נתניה,מרכז,N,32.157453,34.810108
בית הפנקייק המקורי ,אתר חומרי גלם להכנת פנקייקים ,מתוקים-קינוחים,"א-ה: חנות אינטרנטית - משלוחים לכל הארץ
שישי: 
שבת: ",חנות אינטרנטית - משלוחים לכל הארץ,p4u.co.il,050-2287376,משלוחים,,N,מסעדה,הרצליה,מרכז,N,32.157453,34.809901999999994
LULU&CO,גלידרייה וקינוחים ,"חלבי,מתוקים-קינוחים","א-ה: 16:00-02:00
שישי: 11:00-שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת - 02:00",רוטשילד 37,lulu-co.co.il,03-5528282,ישיבה במסעדה,כשר (לאוכלי חלב נוכרי),Y,גלידריה מתוקים וקינוחים,תל אביב - יפו,מרכז,N,32.063910,34.773822
שגב קונספט ,"מסעדת שף  בשרי, אסייתי חלבי ודגים","איטלקי,סושי-אסייאתי,בשרים,חלבי","א-ה: 12:00-23:00 לא כולל עסקיות
שישי: 12:00-23:00 לא כולל עסקיות
שבת: 12:00-23:00 לא כולל עסקיות",עתיר ידע 2,www.segevchef.com,073-266555,ישיבה במסעדה,,Y,מסעדת שף,כפר סבא,שרון,N,32.167284,34.928429
גרג טבריה ,בית קפה מסעדה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-22:00
שישי: 08:00-13:00
שבת: חצי שעה לאחר צאת השבת - 23:00",יהודה הלוי 1 קניון דנילוף,gregcafe.co.il/,04-8675566,ישיבה במסעדה,כשרות מהדרין שמיטה לחומרא,Y,בית קפה,טבריה,צפון,N,32.790718,35.533198
פאט ויני,מסעדה איטלקית ,איטלקי,"א-ה: 12:00-23:00
שישי: 11:30-23:00
שבת: 12:00-23:00",אלטלף 4 ביג יהוד,www.fatvinny.com,2730*,ישיבה במסעדה,,N,מסעדה,יהוד-מונוסון,מרכז,N,32.026079,34.900968
גרעיני עפולה ,"קטניות, דגנים, פיצוחים ועוד ",צמחוני-טבעוני,"א-ה: 09:00-20:00
שישי: 08:00-14:30
שבת: ",מנחם בגין 79,www.garineiafula.co.il,04-9556955,"ישיבה במסעדה,משלוחים",כשר,N,תבלינים ופיצוחים,עפולה,צפון,N,32.603435,35.298460
סמאש בורגר ,מסעדת המבורגרים,"בשרים,ים תיכוני","א-ה: 11:00-23:00
שישי: 11:00-21:00
שבת: 13:00-23:00",אלנבי 47,,03-6570202,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.070292,34.770358
אנגוס,"מסעדת בשרים, ים תיכוני ","בשרים,ים תיכוני","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",הארבעה 20,www.angus.co.il/,03-5715733,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.070314,34.785277
אנגוס,"מסעדת בשרים, ים תיכוני ","בשרים,ים תיכוני","א-ה: 12:00-22:30
שישי: 12:00-22:30
שבת: 12:00-23:00",ויצמן 207,www.angus.co.il/,09-9796655,ישיבה במסעדה,,Y,מסעדה,כפר סבא,שרון,N,32.171994,34.928194
אנגוסרי ,"מסעדת בשרים, ים תיכוני","בשרים,ים תיכוני","א-ה: 11:30-22:30
שישי: 11:30-22:30
שבת: 11:30-22:30",סנטר עין המפרץ,www.angus.co.il/,04-6829717,ישיבה במסעדה,,Y,מסעדה,עין המפרץ,צפון,N,32.900090,35.092658
אנגוס שווארמה ,"מסעדת בשרים, שווארמה","בשרים,ים תיכוני","א-ה: 10:00-22:00
שישי: 10:00-22:00
שבת: 10:00-22:00",מתחם הקניות החדש דבאח מול דיר אל אסד,,04-9983647,ישיבה במסעדה,,Y,מסעדה,דייר אל-אסד,צפון,N,32.924473,35.276759
אנגוס בורגר,"מסעדת בשרים בורגרים, בורגר","בשרים,ים תיכוני","א-ה: 10:00-22:00
שישי: 10:00-22:00
שבת: 10:00-22:00",דבאח מול דיר אל אסד,,04-9983647,ישיבה במסעדה,,Y,מסעדה,דייר אל-אסד,צפון,N,32.924666,35.277984
קלאב 147,בר סנוקר ,"סושי-אסייאתי,בשרים","א-ה: 12:00-03:00
שישי: 12:00-03:00
שבת: 12:00-03:00",בית עובד 2,,03-9635333,ישיבה במסעדה,,Y,בר-פאב,תל אביב - יפו,מרכז,N,32.064555,34.786150
בד ושמן,ייצור שמני זית כתית מעולה,צמחוני-טבעוני,"א-ה: 09:00-17:00
שישי: 09:00-13:00
שבת: ",,www.jerusalemoliveoil.com/,052-8383004,ישיבה במסעדה,,Y,משק חקלאי,בית חנן,מרכז,N,31.934624,34.776658
אתר גרעיני עפולה,"פיצוחים, קטניות,פירות יבשים, דגנים ועוד","מתוקים-קינוחים,צמחוני-טבעוני","א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: חנות אינטרנטית",חנות אינטרנטית,www.garineiafula.co.il,1700707470,משלוחים,"בד""צ בית יוסף",N,תבלינים ופיצוחים,עפולה,מרכז,N,32.603476,35.298481
קינג דיוויד בורגר,המבורגריה,"בשרים,ים תיכוני","א-ה: 11:00-00:00
שישי: 11:00-שעה לפני כניסת שבת
שבת: מצאת השבת - 00:00",ז'בוטינסקי 16,king-d-b.co.il/conact/,03-8007070,ישיבה במסעדה,כשר,Y,מסעדה,ראשון לציון,מרכז,N,31.961507,34.800612
מאמא גרג ,בית קפה מסעדה איטלקית ,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 09:00-22:00
שישי: 09:00-15:00
שבת: שעה לאחר צאת השבת - 23:00",דרך אבא הלל 301,,03-6199922,ישיבה במסעדה,"כשר למהדרין -בד""ץ",N,מסעדה,רמת גן,מרכז,N,32.100339,34.826125
שאטו בר מסעדה,בר מסעדת שף בשרית ,"בר-פאב,בשרים","א-ה: 20:30-01:00
שישי: 
שבת: 20:30-01:00",הים 5,shato-eilat.com/,08-6301100,ישיבה במסעדה,כשר למהדרין,Y,מסעדת שף,אילת,אילת,N,29.549345,34.965928
האפיסרי,מעדנייה בשרית כשרה ,בשרים,"א-ה: 10:00-20:00
שישי: 08:30-15:00
שבת: ",שושנה דמארי 10,www.happicerie.co.il,09-9708888,משלוחים,כשר,Y,מעדניה,נתניה,שרון,N,32.278028,34.842717
בירה אלכסנדר ,מבשלת בירה בוטיק טרייה לא מסוננת ולא מפוסטרת ,בר-פאב,"א-ה: 09:00-17:00
שישי: 09:00-15:00
שבת: ",צבי הנחל 13 עמק חפר,www.alexander-beer.co.il/main/,074-7034094,"ישיבה במסעדה,משלוחים",,Y,"יקבים ומבשלות בירה,מארזים במשלוח",עמוקה,שרון,N,32.402385,34.897167
גליקו ,מסעדה יוונית אותנטית ,"בשרים,דגים,חלבי,טאפסים,ים תיכוני","א-ה: א-ה' 12:30-לקוח אחרון ג' 11:00-לקוח אחרון
שישי: 11:00-לקוח אחרון
שבת: 11:00- לקוח אחרון",המאה ועשרים 4 ראשון מתחם יס פלאנט,glyko.co.il,03-6020200,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.979098,34.746453
גורילה ,בר קפה מסעדה ,"איטלקי,בר-פאב,בית קפה,בשרים,דגים,חלבי","א-ה: 24/7
שישי: 24/7
שבת: 24/7",הטיילת 6,,03-5066887,ישיבה במסעדה,,N,מסעדה,ראשון לציון,מרכז,N,31.998731,34.732477
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-14:30
שבת: שעה אחרי צאת שבת – 23:00","נווה זאב, שד' יוהנה ז'בוטינסקי 30",, 1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,באר שבע,דרום,N,31.239481,34.773663
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:30
שישי: 11:00-15:00
שבת: סגור","קניון נחמיה, הנשיא 25",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,קריית שמונה,צפון,N,33.219754,35.577240
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: סגור",דרך משה דיין 3,,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,יהוד-מונוסון,מרכז,N,32.030595,34.878424
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:30
שישי: סגור
שבת: סגור","צים סנטר, שרירא שלמה 12",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,מעלות-תרשיחא,צפון,N,33.018969,35.283778
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:00
שישי: סגור
שבת: סגור","שער העיר, בן גוריון 24",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,הרצליה,שרון,N,32.162675,34.842265
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: 18:30-23:00","גרנד קניון, שד' דוד טוביהו 125",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,באר שבע,דרום,N,31.252584,34.768614
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-14:00
שבת: שעה לאחר צאת שבת",קניון רוטשילד,,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,ראשון לציון,מרכז,N,31.963931,34.801332
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:00
שישי: סגור
שבת: 18:30-21:00","צים סנטר, בעלי המלאכה 5",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,נתיבות,דרום,N,31.418611,34.599037
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: 11:00-22:00","בילו""ו סנטר",,1-700-700-600,ישיבה במסעדה,,Y,מסעדה,קריית עקרון,מרכז,N,31.872098,34.819394
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-14:30
שבת: 11:00-22:00","חונים קונים, יוסף לישנסקי 9",,1-700-700-600,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.989706,34.765320
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-14:30
שבת: 18:30– 23:00","טופ דן, פנחס רוזן 72",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,תל אביב - יפו,מרכז,N,32.114910,34.826066
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:00
שישי: 11:00-15:00
שבת: סגור","קניון הצפון, אירית 2",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,נהרייה,צפון,N,32.990113,35.094943
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00","מ. ביג קריות, ההסתדרות 254",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,חיפה,צפון,N,32.809709,35.068615
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00","מ. ביג, דרך חברון 21",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,באר שבע,דרום,N,31.243857,34.809777
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00",צומת קוקה קולה,,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,בני ברק,מרכז,N,32.074427,34.843039
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-20:45
שישי: 11:00-20:45
שבת: 12:00-21:00","תחנת הדלק פז, עין חצבה, כביש הערבה",,1-700-700-600,ישיבה במסעדה,,Y,מסעדה,חצבה,דרום,N,30.799085,35.244086
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 22:00",צומת כפר סילבר,,1-700-700-600,ישיבה במסעדה,כשר,N,מסעדה,אשקלון,דרום,N,31.674518,34.608998
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-22:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00",צופית 40 קניון רמלוד,,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,רמלה,מרכז,N,31.933090,34.888775
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 9:00-21:30
שישי: 9:00-14:30
שבת: 8:30-21:30","קניון הנגב, צומת אלי כהן",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,באר שבע,דרום,N,31.244230,34.792259
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:00
שישי: סגור
שבת: סגור","קניון הפסגה, משה דיין 106",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,ירושלים,ירושלים,N,31.828004,35.240199
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:30
שישי: סגור
שבת: סגור","נקיון אדומים, קדם 5",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,מעלה אדומים,ירושלים,N,31.772089,35.299126
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: 12:00-23:00",סוקולוב 138,,1-700-700-600,ישיבה במסעדה,,Y,מסעדה,חולון,מרכז,N,32.022223,34.785655
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-21:00
שישי: 11:00-15:00
שבת: סגור","ביג מגה, השוק 13",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,עפולה,צפון,N,32.606345,35.292959
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-23:00
שישי: 
שבת: שעה לאחר צאת השבת",היכל מנורה,,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,תל אביב - יפו,מרכז,N,32.061490,34.791551
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-15:00
שבת: שעה אחרי צאת שבת – 23:00","קניון ק. אונו, שלמה המלך 37",,1-700-700-600,ישיבה במסעדה,מהדרין,Y,מסעדה,קריית אונו,מרכז,N,32.055574,34.863378
בורגראנץ',רשת המבורגר ישראלית,בשרים,"א-ה: 09:30-21:30
שישי: 08:30-15:00
שבת: שעה מצאת השבת - 22:00","קניון עזריאלי, פלימן 4",,1-700-700-600,ישיבה במסעדה,כשר,Y,מסעדה,חיפה,צפון,N,32.789601,34.965066
קלאסיק ,מסעדת המבורגרים ופיצות ,"איטלקי,בשרים","א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",יהודה מכבי 53,,0722204010,ישיבה במסעדה,,Y,מסעדה,תל אביב - יפו,מרכז,N,32.093959,34.790645
אבו כנאפה - רמת גן ,סוגי ממתקים מזרחיים מיוחדים וייחודיים,"מזרחי,מתוקים-קינוחים","א-ה: 
שישי: 
שבת: ",ביאליק 55,,052-2028665,ישיבה במסעדה,,Y,"גלידריה, מתוקים וקינוחים",רמת גן,מרכז,N,32.084213,34.813248
סלט ישראלי ,מסעדה טבעונית צמחונית ,"כריכים-סלטים,צמחוני-טבעוני","א-ה: 09:30-16:00
שישי: 
שבת: ",אבן גבירול 30,salat-israeli.co.il,03-6526564,ישיבה במסעדה,כן,N,מסעדה,תל אביב - יפו,מרכז,N,32.075078,34.781959
רוטשילדה,בית קפה מסעדה ,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-00:00
שישי: 08:00 עד 3 שעות לפני כניסת שבת
שבת: שעה  לאחר צאת השבת-00:00",המעפילים 1 (טיילת נהריה צמוד לחוף הים),rothschild-nahariyya.co.il,04-9921985,"ישיבה במסעדה,משלוחים","כשר למהדרין -בד""ץ",Y,מסעדה,נהרייה,צפון,N,33.007457,35.089639
JAPAN JAPAN,מסעדה אסייתית ,סושי-אסייאתי,"א-ה: א'-ד' 11:00-23:00 ה' 11:00-00:00
שישי: 11:00-14:30
שבת: חצי שעה לאחר צאת השבת -00:00",הלל יפה 11,,3304*,"ישיבה במסעדה,איסוף עצמי,משלוחים",כשר,Y,מסעדה,חדרה,צפון,N,32.435854,34.916516
ארבעה קצבים ,חנות אינטרנטית לבשר ,בשרים,"א-ה: חנות אינטרנטית
שישי: 
שבת: ",הבנאי 21,4katzavim.co.il,050-3303315,"איסוף עצמי,משלוחים",,N,מעדניה,חולון,מרכז,N,32.012639,34.802616
אלוף הפיצוחים ,"פיצוחים, טבעיים, קלויים, פירות יבשים ועוד","ים תיכוני,מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 08:00-15:00
שישי: 07:00-16:00
שבת: ",השווקים 1 השוק העירוני,www.aluforiginal.co.il,08-6654142,"איסוף עצמי,משלוחים",כשר,Y,תבלינים ופיצוחים,באר שבע,דרום,N,31.240477,34.795432
בית הפנקייק המקורי ,"ארוחות בוקר, סלטים פנקייקים וקינוחים","בית קפה,מתוקים-קינוחים","א-ה: 09:00-23:00
שישי: 09:00-23:00
שבת: 09:00-23:00",הגעתון 43,logo_beitpancake.jpg,052-6262111,ישיבה במסעדה,,Y,מסעדה,נהרייה,צפון,N,33.006724,35.091945
SINNERS,אתר לרכישת בשרי בוטיק פרימיום מיוחדים,בשרים,"א-ה: 16:00-20:00
שישי: 11:00-15:00
שבת: ",רחוב הרצל 28 פינת וייצמן 1,www.sinnersmeat.com,058-4003055,משלוחים,כשר,Y,מעדניה,ראשון לציון,מרכז,N,31.969221,34.804410
KURA,מסעדה אסייתית ,סושי-אסייאתי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",בן גוריון 136,kura.co.il,03-5522041,ישיבה במסעדה,,Y,מסעדה,בת ים,מרכז,N,32.011820,34.738421
קפה קפה,בית קפה מסעדה,"בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-00:00
שישי: 08:00-13:30
שבת: שעה לאחר צאת השבת - 00:00",הטיילת 19,www.cafecafe.co.il/he/home/a/main,03-3787777,ישיבה במסעדה,כשר,Y,בית קפה,ראשון לציון,מרכז,N,32.001871,34.733223
פאזל בורגר ,מסעדת המבורגרים,"בשרים,ים תיכוני","א-ה: 11:30-22:30
שישי: 11:30- שעה לפני כניסת שבת
שבת: שעה לאחר צאת השבת-23:30",ילדי טהרן 7,puzzle-burger.co.il/rishon/,03-6164787,ישיבה במסעדה,כשר,Y,מסעדה,ראשון לציון,מרכז,N,31.984992,34.767622
גרעיני עפולה ,"גרעינים, תבלינים, דגנים ועוד ","ים תיכוני,מזרחי,מתוקים-קינוחים","א-ה: א'-ד' 08:00-21:00 ה' 08:00-22:00
שישי: 08:30-15:30
שבת: חצי שעה מצאת השבת - 22:00",יגאל אלון 94,www.garineiafula.co.il,03-9115353,ישיבה במסעדה,כשר,Y,תבלינים ופיצוחים,תל אביב - יפו,מרכז,N,32.068536,34.794500
לה פלנצ'ה ,מסעדה מקסיקנית ,מקסיקני,"א-ה: 10:30-00:00
שישי: 10:30-15:00
שבת: חצי שעה מצאת השבת - 00:00",סוקולוב 71,,03-9540095,"ישיבה במסעדה,משלוחים",כשר,Y,מסעדה,רמת השרון,מרכז,N,32.146270,34.838505
קפה בנימינה ,בית קפה סדנאות והרצאות קפה לא כולל מכונות קפה,בית קפה,"א-ה: 07:30-13:00| א',ד',ה' 16:00-18:00
שישי: 07:00-13:30
שבת: ",המייסדים 15,,04-6380048,ישיבה במסעדה,,N,בית קפה,בנימינה,צפון,N,32.522247,34.947988
דון ויטו ,מסעדה איטלקית ,"איטלקי,חלבי","א-ה: 17:00-23:00
שישי: 
שבת: מצאת השבת - לקוח אחרון",צומת תל השומר שער דרום,don-vito.co.il,1700503000,ישיבה במסעדה,כשר,Y,מסעדה,יהוד-מונוסון,מרכז,N,32.036168,34.847319
UNO,מסעדה איטלקית ,"איטלקי,חלבי,מתוקים-קינוחים","א-ה: 12:00-23:00
שישי: 
שבת: שעה לאחר צאת השבת - 23:00",ויצמן 2,www.unotlv.co.il,03-6932005,ישיבה במסעדה,כשר,Y,מסעדה,תל אביב - יפו,מרכז,N,32.077465,34.788764
בירבזאר ירושלים ,בר פאב לא כולל happy hour,בר-פאב,"א-ה: 18:00-00:00
שישי: 
שבת: שעה לאחר צאת השבת - לקוח אחרון",יפו 161,beerbazaar.co.il,02-6712559,ישיבה במסעדה,כשר,Y,בר-פאב,ירושלים,ירושלים,N,31.786769,35.208529
ג'סיקה,מטבח ישראלי ים תיכוני ,"בשרים,ים תיכוני,מזרחי","א-ה: 12:00-00:30
שישי: 12:00-00:30
שבת: 12:00-00:30",יצחק נפחא 25,jessica-restro-bar.co.il,054-9788827,ישיבה במסעדה,,Y,מסעדה,באר שבע,דרום,N,31.246144,34.812032
פאט ויני,מסעדה איטלקית ,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",מעלה כמון 2 מרכז ביג,www.fatvinny.com,2730*,"ישיבה במסעדה,משלוחים",,Y,מסעדה,כרמיאל,צפון,N,32.926332,35.321719
בורגראנץ',רשת המבורגר ישראלית,"בשרים,ים תיכוני,מזרחי","א-ה: 11:00-22:00
שישי: 11:00-14:00
שבת: ",תחנה מרכזית,,1-700-700-600,ישיבה במסעדה,כשר למהדרין,Y,מסעדה,אשדוד,דרום,N,31.790732,34.640637
חממה מודיעין ,"פיצוחים, טבעיים, קלויים, פירות יבשים ועוד","מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-20:00
שישי: 08:00-15:00
שבת: ",ערער 14,,077-5060977,ישיבה במסעדה,"בד""צ בית יוסף",Y,תבלינים ופיצוחים,מודיעין-מכבים-רעות,ירושלים,N,31.900731,35.008195
דוניס דגים ויין ,מסעדת דגים חלבי,"איטלקי,דגים,חלבי","א-ה: 12:00-23:00
שישי: 
שבת: מצאת השבת - 00:00",הערבה 1 בניין עוז,donis.co.il,03-5708888,ישיבה במסעדה,כשר,Y,מסעדה,גבעת שמואל,מרכז,N,32.083566,34.855370
קפה פנטסיה ,בית קפה ,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 10:00-00:00
שישי: 09:30-01:00
שבת: 10:00-00:00",המאה ועשרים 4,fantasia-rlz.co.il,03-9466644,ישיבה במסעדה,,Y,בית קפה,ראשון לציון,מרכז,N,31.97962,34.746233000000004
פטריקס,בר מסעדה בשרים,"בר-פאב,בשרים,דגים","א-ה: א'-ד' 19:00-לקוח אחרון ה' 18:30-לקוח אחרון
שישי: 
שבת: רבע שעה מצאת שבת-לקוח אחרון",המאה ועשרים 4 (מתחם יס פלאנט),patricks-irishpub.com,0772316244,ישיבה במסעדה,,Y,מסעדה,ראשון לציון,מרכז,N,31.97962,34.746027
מקס ברנר,חנות שוקולד,מתוקים-קינוחים,"א-ה: 9:30-21:30
שישי: 9:30-15:00
שבת: חצי שעה לאחר צאת שבת-22:30","קניון חוצות, מעלה כמון 5",www.max-brenner.co.il,1700708877,ישיבה במסעדה,כן,Y,גלידריה מתוקים וקינוחים,כרמיאל,צפון,N,32.928320,35.324480
מקס ברנר,חנות שוקולד ,מתוקים-קינוחים,"א-ה: 20:00-10:00
שישי: 14:00-9:00
שבת: מצאת השבת ועד 23:00","עמק רפאים 40, שדרות ממילא",www.max-brenner.co.il,1700708877,ישיבה במסעדה,כן,Y,גלידריה מתוקים וקינוחים,ירושלים,ירושלים,N,31.776720,35.225790
גורילה,בר קפה ומסעדה ,"בית קפה,חלבי,ים תיכוני,כריכים-סלטים","א-ה: 24/7
שישי: עד השעה 17:00
שבת: 17:00-לקוח אחרון",בן גוריון 81,gorillacafe.co.il,077-9969184,ישיבה במסעדה,,N,בית קפה,בת ים,מרכז,N,32.019343,34.739242
וניליה,גלידרייה,מתוקים-קינוחים,"א-ה: 10:30-21:00
שישי: 10:00-15:30
שבת: 10:30-21:00","מבנה, פארק מסחרי גן שמואל",www.vaniglia.co.il,04-6968070,ישיבה במסעדה,,Y,"גלידריה, מתוקים וקינוחים",גן שמואל,צפון,N,32.448870,34.951610
וניליה,גלידרייה,מתוקים-קינוחים,"א-ה: 10:30-21:30
שישי: 10:30-21:30
שבת: 10:30-21:30","אהרון בקר 8 ת""א",www.vaniglia.co.il,03-6035000,ישיבה במסעדה,,Y,"גלידריה, מתוקים וקינוחים",תל אביב - יפו,מרכז,N,32.432500,34.924410
מיכליס,בית קפה מסעדה וקונדיטוריה עם סוגי עוגות ומאפים,"איטלקי,בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: סגור",מרכז לב רעות,,,ישיבה במסעדה,"בדץ חתם סופר פ""ת ומהדרין מודיעין",Y,בית קפה,מודיעין-מכבים-רעות,ירושלים,N,31.887323,35.617960
קדמה קפה,"רכישת קפה, מכונות וקפסולות",בית קפה,"א-ה: 
שישי: 
שבת: ",האורן 5,,072-2171111,ישיבה במסעדה,,N,בית קפה,רמת ישי,צפון,N,32.705930,35.170040
קדמה קפה,בית קפה מסעדה,בית קפה,"א-ה: 
שישי: 
שבת: ",התעשייה 8,,072-2171111,ישיבה במסעדה,,N,בית קפה,תל אביב - יפו,מרכז,N,32.067360,34.786020
אלטה,מסעדת שף ,דגים,"א-ה: 12:00-16:00
שישי: 12:00-16:00
שבת: 13:00-22:00","חוף שלדג, צומת מושבת כנרת",,04-8870040,ישיבה במסעדה,,Y,מסעדה,כנרת (מושבה),צפון,N,32.721920,35.569500
ארטיקים TLV,"מארזי ארטיקים, גלישות ושלגונים",מתוקים-קינוחים,"א-ה: 
שישי: 
שבת: ",חנות אינטרנטית,greeninvoice.shop/artikimtlv,054-5521004,"איסוף עצמי,משלוחים",,N,"גלידריה, מתוקים וקינוחים,מארזים במשלוח",תל אביב - יפו,מרכז,N,32.067650,34.763810
