שם,תיאור,אזור,עיר,כתובת,טלפון,קטגוריה,סוג,שעות פתיחה,כשר,נגישות לנכים,אתר אינטרנט,משלוחים,חדש,latitude,longitude
TEXAS BBQ טקסס ברביקיו," מסעדה, מעשנת בשרים ",מרכז,תל אביב - יפו,דרך שלמה 43,03-6768661,מסעדה,בשרים,"א-ה: 11:00-23:00
שישי: 11:00-23:00
שבת: 11:00-23:00",,Y,www.texasbbq.co.il,N,N,32.054994,34.765896
בירבזאר יפו,בר פאב לא כולל happy hour,מרכז,תל אביב - יפו,עולי ציון 7,03-7578807,בר-פאב,"בר-פאב,בשרים,טאפסים","א-ה: 11:00-24:00
שישי: 10:00-16:00
שבת: מוצ""ש עד חצות",כשר,Y,beerbazaar.co.il,N,N,32.053305,34.756575
בירבזאר הבימה,בר פאב לא כולל happy hour,מרכז,תל אביב - יפו,שד' רוטשילד 142,054-7967995,בר-פאב,"בר-פאב,דגים,כריכים-סלטים","א-ה:  החל מ17:00
שישי: החל מ13:00
שבת: החל מ17:00",,Y,beerbazaar.co.il,N,N,32.071691,34.779442
בירבזאר שוק הכרמל,בר פאב לא כולל happy hour,מרכז,תל אביב - יפו,ישכון 36,050-7221998,בר-פאב,"בר-פאב,דגים,כריכים-סלטים","א-ה: החל מ12:00
שישי: 11:00-18:00
שבת: החל מ19:00",,N,beerbazaar.co.il,N,N,32.068558,34.768220
קוקו קרייזי פור צ'יקן,מסעדת עוף רוטיסרי ,מרכז,רמת גן,תובל 19,03-5019163,מסעדה,בשרים,"א-ה: 17:00-23:00
שישי: 
שבת: ",כשר,Y,,N,N,32.084572,34.802124
בירבזאר מחנה יהודה,בר פאב לא כולל happy hour,ירושלים,ירושלים,עץ החיים 3,02-6712559,בר-פאב,"בר-פאב,בשרים,טאפסים","א-ה: 11:00-24:00
שישי: 10:00-15:00
שבת: ",כשר,Y,beerbazaar.co.il,N,N,31.785566,35.212740
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,רחובות,קניון רחובות,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.893432,34.806687
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,תל אביב - יפו,קניון רמת אביב,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,32.112258,34.795888
freshop,רשת משקאות ופינוקי בריאות טריים,דרום,באר שבע,קניון הנגב,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.244251,34.810643
freshop,רשת משקאות ופינוקי בריאות טריים,דרום,אשדוד,קניון הסיטי,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.790444,34.639341
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,פתח תקווה,קניון אבנת פתח תקווה  - קומה תחתונה עליונה,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,32.092711,34.865506
freshop,רשת משקאות ופינוקי בריאות טריים,דרום,באר שבע,תחנה מרכזית באר שבע,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.244257,34.796932
freshop,רשת משקאות ופינוקי בריאות טריים,צפון,חדרה,קניון הויליג',,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: 10:00-23:00",לא,Y,sahoot.co.il/,N,N,32.441747,34.895059
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,רמלה,קניון עזריאלי רמלה,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.925743,34.863947
freshop,רשת משקאות ופינוקי בריאות טריים,דרום,באר שבע,גרנד קניון,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,31.250393,34.771731
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,פתח תקווה,קניון כפר גנים,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,32.074358,34.869726
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,חולון,קניון חולון,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,32.012517,34.778892
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,תל אביב - יפו,בית חולים איכילוב,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 07:00-22:00
שישי: 07:00-16:00
שבת: מצאת השבת-23:00",,Y,sahoot.co.il/,N,N,32.080757,34.790297
CHEF TO TABLE,משלוחי ארוחות שף ,מרכז,תל אביב - יפו,אלנבי 48,050-8383084,מארזים במשלוח,"איטלקי,בשרים,דגים,טאפסים,ים תיכוני","א-ה: 10:00-18:00
שישי: 10:00-16:00
שבת: ",,Y,cheftotable.co.il/,Y,N,32.071560,34.769350
גו נודלס ,מסעדה אסייתית ,מרכז,תל אביב - יפו,אבן גבירול 54,03-6964040,מסעדה,סושי-אסייאתי,"א-ה: 11:30-00:00
שישי: 
שבת: צאת השבת - 00:00",,Y,gonoodles.co.il/,N,N,32.078113,34.781422
גו נודלס ,מסעדה אסייתית ,מרכז,תל אביב - יפו,שד' יהודית 20,03-6964040,מסעדה,"סושי-אסייאתי,דגים,צמחוני-טבעוני","א-ה: 11:30-22:00
שישי: 
שבת: ",כשר,Y,gonoodles.co.il/,N,N,32.069880,34.790470
freshop,רשת משקאות ופינוקי בריאות טריים,צפון,חיפה,משה סולימן 4,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת -23:00",,Y,sahoot.co.il/,N,N,32.790215,34.964970
freshop,רשת משקאות ופינוקי בריאות טריים,צפון,חיפה,הסתדרות 55,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת -23:00",,Y,sahoot.co.il/,N,N,32.792939,35.036762
מקס ברנר,חנות שוקולד,דרום,באר שבע,שדרות דוד טוביהו 125,1-700-70-88-77,מסעדה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 09:30-22:00
שישי: 09:30-15:00
שבת: מצאת השבת -22:00",כשר,Y,www.max-brenner.co.il,Y,N,31.250706,34.771637
מקס ברנר,חנות שוקולד,צפון,קריית ביאליק,דרך עכו 192,1700708877,מסעדה,"בית קפה,חלבי,מתוקים-קינוחים","א-ה: 10:00-20:00
שישי: 09:30-15:00
שבת: מצאת השבת -23:00",,Y,www.max-brenner.co.il,Y,N,32.843957,35.089882
מלכת הג'לי ,חומרי גלם לאפיה קלה מקצועית וחווייתית לכל אחד,מרכז,פתח תקווה,נחשון 12,03-9325232,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: איסוף עצמי  09:00-15:00
שישי: 
שבת: ",כשר למהדרין,Y,dejellyqueen.com/,Y,N,32.107659,34.895416
דלאל הקונדיטוריה,השילוב המנצח של בראנץ ודלאל הקונדיטוריה,מרכז,תל אביב - יפו,כל ישראל חברים 7,054-4781435 | 03-5109292,בית קפה,"בית קפה,מתוקים-קינוחים","א-ה: 07:00-16:00
שישי: 07:00-16:00
שבת: ",,Y,dallal.co.il/,N,N,32.060596,34.763773
שה דלאל ,השילוב המנצח של בראנץ ודלאל הקונדיטוריה,מרכז,תל אביב - יפו,יהודה המכבי 73,054-4781435 | 03-5109292,מסעדה,"בית קפה,חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 07:30-16:30
שישי: 07:30-16:30
שבת: 07:00-14:00",,Y,dallal.co.il/,N,N,32.094065,34.792189
משק טל ,"תוצרת חקלאית של פירות, ירקות, ביצים, מוצרי בריאות",דרום,ביצרון,העולים 94,050-6990006,משק חקלאי,ים תיכוני,"א-ה: חנות אינט
שישי: חנות אינטרנטית
שבת: ",כשרות אפרתי,Y,farmdirect.co.il/,Y,N,31.794652,34.742092
וניליה,גלידרייה,שרון,כפר סבא,אנג'ל 78,072-2507452,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-20:00
שישי: 11:00-21:00
שבת: 11:00-21:00",,Y,www.vaniglia.co.il,N,N,32.198194,34.890321
וניליה,גלידרייה,שרון,הרצליה,שדרות שבעת הכוכבים 8,09-8906097,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 13:00-19:00
שישי: 11:00-15:30
שבת: 12:00-20:00",,Y,www.vaniglia.co.il,N,N,32.165793,34.823827
וניליה,גלידרייה,מרכז,תל אביב - יפו,אחימאיר 17 מרכז שוסטר,072-2118424,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 11:00-21:00
שבת: 11:00-21:00",,Y,www.vaniglia.co.il,N,N,32.125295,34.802236
וניליה,גלידרייה,שרון,בני דרור,מרכז דרורים,09-7728197,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 10:30-22:00
שישי: 10:30-22:00
שבת: 10:30-22:00",,Y,,N,N,32.260352,34.893881
וניליה,גלידרייה,שרון,רמת השרון,אוסישקין 59,03-5498998,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-20:30
שישי: 11:00-20:30
שבת: 11:00-20:30",,Y,www.vaniglia.co.il,N,N,32.143343,34.843682
וניליה,גלידרייה,מרכז,פתח תקווה,יעל רום 8,072-2410412,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-23:00
שישי: 11:00-00:00
שבת: 11:00-00:00",,Y,www.vaniglia.co.il,N,N,32.098670,34.881489
פיצה וירטואוז,פיצרייה ,מרכז,ראשון לציון,ז'בוטינסקי 16,03-9504888,מסעדה,"איטלקי,חלבי","א-ה: 12:00-23:00
שישי: 
שבת: מצאת השבת -23:00",כשר,Y,,Y,N,31.961693,34.800586
ספיר דגים,דגים טריים ,דרום,אשקלון,יכין 1255,08-6460265,מעדניה,דגים,"א-ה: 10:00-18:00
שישי: 07:00-14:00
שבת: ",כשר,Y,www.sapir-dagim.co.il/,Y,N,31.667199,34.586380
עולם הלחם,מאפיית לחם ומוצריו,מרכז,יהוד-מונוסון,חנות אינטרנטית,053-8872614,מאפיה וקונדיטוריה,מתוקים-קינוחים,"א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: חנות אינטרנטית",כשר,Y,gwbread.com,Y,N,32.036740,34.895903
DE KARINA,מארזי שוקולד גורמה,צפון,עין זיוון,קיבוץ עין זיוון,04-6993622,מארזים במשלוח,מתוקים-קינוחים,"א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: חנות אינטרנטית",,Y,de-karina.co.il,Y,N,33.095239,35.796796
וניליה,גלידרייה,מרכז,תל אביב - יפו,אבן גבירול 98,03-5241177,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-00:00
שישי: 11:00-00:00
שבת: 11:00-00:00",,Y,www.vaniglia.co.il,N,N,32.083396,34.781472
וניליה,גלידרייה,שרון,הוד השרון,דרך רמתיים 18,072-2405280,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-21:30
שישי: 11:00-21:30
שבת: 11:00-21:30",,N,www.vaniglia.co.il,N,N,32.160746,34.893940
וניליה,גלידרייה,ירושלים,ירושלים,דוד רמז 4 - מתחם התחנה,072-2600672,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 10:00-23:00
שישי: 10:00-23:00
שבת: 10:00-23:00",,Y,www.vaniglia.co.il,N,N,31.767869,35.224587
וניליה,גלידרייה,דרום,אשדוד,דרך הרכבת 1,072-2415844,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 10:00-15:30
שבת: 10:00-22:00",,Y,www.vaniglia.co.il,N,N,31.776409,34.664149
פאט ויני,מסעדה איטלקית ,צפון,קריית אתא,"מרכז ביג קריות, הסולל 8",2730*,מסעדה,איטלקי,"א-ה: 12:00-23:00
שישי: 12:00-23:00
שבת: 12:00-23:00",,N,,Y,N,32.810368,35.073043
BIALETI,הכל לקפה ,מרכז,ראשון לציון,יוסף ספיר 7 ראשון לציון,03-9012222,בית קפה,בית קפה,"א-ה: 09:00-15:00
שישי: חנות אינטרנטית
שבת: חנות אינטרנטית",,Y,www.bialettishop.co.il/,Y,N,32.060211,34.784122
פרש דה מרקט ,קפה -אוכל-חברים,צפון,קריית אתא,הסולל 8 - ביג קריות,04-6300063,מסעדה,"איטלקי,בית קפה,חלבי,מתוקים-קינוחים","א-ה: 08:30-23:00
שישי: 08:00-13:30
שבת: שעה לאח צאת השבת - 00:00",,Y,www.freshkitchen.co.il/,Y,N,32.809855,35.071769
Art Pizza,פיצת שף,מרכז,תל אביב - יפו,אבן גבירול 33,03-7573080,מסעדה,"איטלקי,חלבי","א-ה: 12:00-01:00 ימי חמישי 12:00-04:00
שישי: 
שבת: מצאת השבת -01:00",,Y,artpizza.co.il/,N,N,32.075274,34.781536
וניליה ,גלידרייה,שרון,נתניה,שד' טום לנטוס 26,09-9744831,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 10:00-15:00
שבת: מצאת השבת - 23:00",כשר,Y,www.vaniglia.co.il,N,N,32.306922,34.869089
וניליה ,גלידרייה,מרכז,תל אביב - יפו,אשתורי הפרחי 22,03-5288186,"גלידריה, מתוקים וקינוחים",מתוקים-קינוחים,"א-ה: 11:00-21:00
שישי: 10:00-21:00
שבת: 10:00-21:00",,Y,www.vaniglia.co.il,N,N,32.090714,34.780390
מועדון היין ,"מארזי יין משולבים, מיקבי בוטיק מובילים",מרכז,תל אביב - יפו,חנות אינטרנטית,,יקבים ומבשלות בירה,בר-פאב,"א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: חנות אינטרנטית",,Y,wine-club.co.il/,Y,N,32.056751,34.784353
בית הפנקייק המקורי ,בית קפה מסעדה וקינוחים,צפון,שומרה,מושב שומרה,050-4590444,מסעדה,"חלבי,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-22:00
שישי: 08:00-20:00
שבת: 08:00-22:00",,Y,www.pancake.co.il,Y,N,33.080668,35.283392
לבנון ,חומוס ערק ומה שבניהם ,מרכז,אור יהודה,יהדות קנדה 1,03-7440390,מסעדה,"בר-פאב,ים תיכוני,מזרחי","א-ה: 10:00-23:00
שישי: 10:00-כניסת שבת
שבת: צאת השבת - 00:00",כשר למהדרין,Y,,N,N,32.020659,34.859254
קפה גרג,בית קפה מסעדה,צפון,באקה אל-גרביה,מתחם WE CENTER,04-8344122,בית קפה,"איטלקי,בית קפה,חלבי,ים תיכוני,כריכים-סלטים","א-ה: 
שישי: 
שבת: ",,Y,gregcafe.co.il/,N,N,32.413326,35.029203
קפה גרג,בית קפה מסעדה,מרכז,ראשון לציון,ילדי טהרן 5,03-6559896,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:00-22:00
שישי: 08:00-14:00
שבת: מצאת השבת - 23:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.984607,34.769157
לולה מרטין ,מסעדת דגים ופירות ים,שרון,הרצליה,שד' אבא אבן הרצליה,09-7614242,מסעדה,"בשרים,דגים","א-ה: 12:00-23:00
שישי: 12:00-00:00
שבת: 12:00-23:00",,Y,www.rest.co.il/rest/80327881/,N,Y,32.162104,34.808435
JAPAN JAPAN,מסעדה אסייתית ,מרכז,תל אביב - יפו,"רח' הארבעה 28, מגדלי חג'ג'",3304*,מסעדה,סושי-אסייאתי,"א-ה: א-ד 11:00-23:00 ה'- 11:00-00:00
שישי: 10:30-14:30
שבת: חצי שעה מצאת השבת - 00:00",כשר,Y,www.japan-japan.co.il/,N,N,32.070256,34.786049
פאט ויני ,דיינר איטלקי ,צפון,נהרייה,ביג רגבה - כביש עכו נהריה,2730*,מסעדה,איטלקי,"א-ה: 11:00-23:00
שישי: 11:00-23:00
שבת: 11:00-23:00",,Y,www.fatvinny.com/about,N,N,32.974545,35.094841
קפה גרג,בית קפה מסעדה,דרום,נתיבות,בעלי המלאכה 5 קניון צים סנטר,08-9933287,בית קפה,"איטלקי,בית קפה,חלבי,כריכים-סלטים","א-ה: 08:30-23:00
שישי: 08:00-14:00
שבת: חצי שעה לאחר צאת השבת - 23:30",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.417311,34.594289
קפה גרג,בית קפה מסעדה,דרום,קריית מלאכי,צומת קסטינה מתחם ביג,08-6118112,בית קפה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-23:00
שישי: 08:00-14:00
שבת: חצי שעה מצאת השבת - 00:00",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.728019,34.755056
בית הפנקייק המקורי ,"ארוחות בוקר, סלטים פנקייקים וקינוחים",מרכז,גבעת שמואל,גוש עציון 7,03-5024444,מסעדה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 11:00-00:00
שישי: 
שבת: 21:00-00:00",כשר,Y,www.pancake.co.il,N,N,32.079148,34.845549
פאזל בורגר ,בורגרים ,מרכז,תל אביב - יפו,ויצמן 14,3652*,מסעדה,בשרים,"א-ה: 09:00-21:00
שישי: 09:00-15:00
שבת: ",כשר,Y,puzzle-burger.co.il/,N,N,32.081785,34.789129
מתיתיהו ,בר מסעדה ,אילת,אילת,רחוב ההשכלה שער דן,053-3200193,בר-פאב,"איטלקי,בית קפה,בר-פאב,בשרים,חלבי","א-ה: 08:00-00:00
שישי: 08:00-00:00
שבת: 08:00-00:00",כשר,Y,matityahoo.co.il/,N,N,29.566333,34.950075
גריל 443,מסעדת בשרים,ירושלים,שילת,צומת שילת מודיעין,08-9765268,מסעדה,"בשרים,ים תיכוני","א-ה: 11:00-23:00
שישי: 08:00-15:00
שבת: ",כשר,Y,grill443.co.il,N,N,31.914728,35.016371
קפה גרג,בית קפה מסעדה,דרום,באר שבע,יצחק רגר 2,08-6640309,בית קפה,"איטלקי,בית קפה,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-21:30
שישי: 08:00-15:00
שבת: ",כשר למהדרין,Y,gregcafe.co.il/,N,N,31.243866,34.794125
JAPAN JAPAN,מסעדה אסייתית,צפון,יקנעם עילית,שדרות יצחק רבין 9,3304*,מסעדה,סושי-אסייאתי,"א-ה: א'-ד': 11:00-23:00 ה' 11:00-00:00
שישי: 10:30-14:30
שבת: חצי שעה מצאת השבת - 00:00",כשר,Y,www.japan-japan.co.il/,N,N,32.642818,35.092046
סגפרדו ,חנות אינטרנטית לקפה ומוצריו,מרכז,שוהם,חנות אינטרנטית,,בית קפה,בית קפה,"א-ה: 
שישי: 
שבת: ",,N,segafredosystem.co.il,Y,N,31.994622,34.951770
ג'ויה ,מסעדה איטלקית ,שרון,הרצליה,אריה שנקר 9,09-9566299,מסעדה,איטלקי,"א-ה: 12:00-23:30
שישי: 12:00-23:30
שבת: 12:00-23:30",,Y,joya.co.il/,N,N,32.158580,34.808869
ג'ויה ,מסעדה איטלקית ,מרכז,תל אביב - יפו,הברזל 4,03-6447031,מסעדה,איטלקי,"א-ה: 12:00-23:30
שישי: 12:00-23:30
שבת: 12:00-23:30",,Y,joya.co.il/,N,N,32.106701,34.835938
ג'ויה ,מסעדה איטלקית ,שרון,רעננה,דרך ירושלים 34,077-9800536,מסעדה,איטלקי,"א-ה: 12:00-23:30
שישי: 12:00-23:30
שבת: 12:00-23:30",,Y,joya.co.il/,N,N,32.185523,34.854371
אוונגרד,דיינר אמריקאי,מרכז,תל אביב - יפו,ראול ולנברג 18 רמת החייל,03-6480082,מסעדה,בשרים,"א-ה: 11:45-23:15
שישי: 11:45-23:15
שבת: 11:45-23:15",,Y,avantgarde-tlv.co.il,N,N,32.109388,34.837571
ביץ' קלאב חיפה,מסעדה ,צפון,חיפה,יוחאי בן נון 1,04-6626791,מסעדה,"איטלקי,בית קפה,בשרים,חלבי,ים תיכוני","א-ה: 12:00-23:00
שישי: 08:00-23:00
שבת: 08:30-23:00",,N,beachclubhaifa.business.site/,N,N,32.793378,34.956834
בוטיקניק ,סלסלות פיקניק ומגשי אירוח,מרכז,יהוד-מונוסון,העצמאות 56,052-8883980,מעדניה,"חלבי,ים תיכוני,כריכים-סלטים,מתוקים-קינוחים","א-ה: 08:00-16:00 - איסוף עצמי
שישי: 08:00-16:00
שבת: מוצרי החנות בלבד, ללא הזמנות ומשלוחים",כשר,N,www.boutiquenic.com,N,N,32.027766,34.891339
טש וטשה ,חמארה גאורגית שמחה ,מרכז,תל אביב - יפו,מתחם התחנה,03-6771373,מסעדה,"בשרים,חלבי,צמחוני-טבעוני","א-ה: 18:00- לקוח האחרון
שישי: 16:00- לקוח אחרון
שבת: 12:00-לקוח אחרון",,Y,www.tashandtasha.com/,N,N,32.058636,34.761484
טשה,גלידה וקפה ,מרכז,תל אביב - יפו,מתחם התחנה,03-6771373,"גלידריה, מתוקים וקינוחים","בית קפה,מתוקים-קינוחים","א-ה: 11:00-22:00
שישי: 11:00-22:00
שבת: 10:00-22:00",,Y,,N,N,32.058624,34.761492
פיטשטש,אוכל רחוב גרוזיני בפיתה ,מרכז,תל אביב - יפו,מתחם התחנה,03-6771373,מסעדה,"בשרים,חלבי,צמחוני-טבעוני","א-ה: 11:00-22:00
שישי: 11:00-22:00
שבת: 10:00-22:00",,Y,,N,N,32.058624,34.761492
האקדמיה לפירות ,מגשי פירות ואירוח ,מרכז,תל אביב - יפו,בן צבי 104,1700-500-115,מארזים במשלוח,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",כשר,Y,www.perot4u.co.il,Y,N,32.040527,34.774598
האקדמיה לפירות ,מגשי פירות ואירוח ,צפון,חיפה,חלוצי התעשיה 10,1-700-500-115,מארזים במשלוח,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",כשר,Y,www.perot4u.co.il,Y,N,32.811357,35.067873
האקדמיה לפירות ,מגשי פירות ואירוח ,ירושלים,ירושלים,התמרוקים 3,1-700-500-115,מארזים במשלוח,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",כשר,Y,www.perot4u.co.il,Y,N,31.855202,35.217607
האקדמיה לפירות ,מגשי פירות ואירוח ,דרום,באר שבע,השלום 54,1-700-500-115,מארזים במשלוח,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",כשר,Y,www.perot4u.co.il,Y,N,31.251633,34.808292
האקדמיה לפירות ,מגשי פירות ואירוח ,אילת,אילת,נמנמן 4,1-700-500-115,מארזים במשלוח,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 
שישי: 
שבת: ",כשר,Y,www.perot4u.co.il,Y,N,29.568554,34.953709
פאזל בורגר ,בורגרים ,מרכז,חולון,הרוקמים 26,3652*,מסעדה,בשרים,"א-ה: 11:30-17:00
שישי: 11:30-17:00
שבת: ",כשר,Y,puzzle-burger.co.il/,N,N,32.007742,34.800636
L CAFE,בית קפה מסעדה,צפון,קריית שמונה,הנשיא 4,04-6380221,בית קפה,"בית קפה,מתוקים-קינוחים","א-ה: 08:00-22:30
שישי: 07:30-15:30
שבת: ",כשר למהדרין,Y,,N,N,33.221404,35.575528
Food Truck Square,מסעדת המבורגרים,ירושלים,כפר אדומים,צומת כפר אדומים,050-7776676,מסעדה,בשרים,"א-ה: 12:00-22:00
שישי: 
שבת: ",כשר,Y,food-truck-square.business.site/,N,N,31.815068,35.349213
JAPAN JAPAN,מסעדה אסייתית ,צפון,אור עקיבא,השקמים 8 מתחם נוף ים סנטר,04-8488055,מסעדה,סושי-אסייאתי,"א-ה: א'-ד': 11:00-23:00 ה': 11:00-00:00
שישי: 10:00-14:00
שבת: חצי שעה מצאת השבת - 00:00",,N,www.japan-japan.co.il/,N,N,32.504351,34.917950
סלון יווני ,מטבח ים תיכוני חלבי ודגים - שף גאי פרץ ,מרכז,תל אביב - יפו,הרצל רוזנבלום 12 מלון ווסט,וואטסאפ 050-774-0025,מסעדת שף,"איטלקי,דגים,חלבי","א-ה: 07:00-11:00 א.בוקר 18:00-23:00 א.ערב
שישי: 07:00-15:00
שבת: ",כשר,Y,ontopo.co.il/salonyevani/,N,N,32.138632,34.791942
המלקט ,"מארזי גבינות, ממרחים, פיצוחים יין ועוד",מרכז,רמת השרון,הנביאים 17,050-2047404,מעדניה,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: חנות אינטרנטית
שישי: חנות אינטרנטית
שבת: ",,Y,hamelaket.co.il,Y,N,32.130294,34.854551
טאטי ,ביסטרו  צרפתי/ איטלקי ,מרכז,גבעתיים,דרך השלום 53,03-5392500,מסעדה,"איטלקי,צרפתי","א-ה: 11:00-23:00
שישי: 11:30-23:00
שבת: 11:30-23:00",,Y,tattibistro.co.il/,N,N,32.066857,34.803282
freshop,רשת משקאות ופינוקי בריאות טריים,מרכז,כפר סבא,קניון ערים,,מיצים ופירות,"מתוקים-קינוחים,צמחוני-טבעוני","א-ה: 09:00-22:00
שישי: 09:00-16:00
שבת: מצאת השבת-23:00",,N,sahoot.co.il/,N,N,32.176839,34.904087
PALOMINO,מסעדה איטלקית ,ירושלים,ירושלים,המלך ג'ורג' 41,077-3627511,מסעדה,איטלקי,"א-ה: 17:00- לקוח אחרון
שישי: 09:00-15:00
שבת: מצאת השבת - לקוח אחרון",בפיקוח ארגון רבני צהר,Y,www.palominojrlm.com,N,N,31.777809,35.216097
בורגר בופה ,מסעדת המבורגרים - תקף בהמבורגר בלבד   ,שרון,כפר סבא,עתיר ידע 4 קניון אושי,09-9578168,מסעדה,בשרים,"א-ה: 11:00-22:30
שישי: 11:00-15:00
שבת: מצאת השבת-23:00",כן,Y,buffetburger.ussl.co.il/,N,N,32.165560,34.928583
לייזר סטריט - מזנון,מזנון אוכל ,שרון,רעננה,הסדנא 2,072-3717195,מסעדה,"ים תיכוני,כריכים-סלטים,מתוקים-קינוחים","א-ה: 10:00-23:00
שישי: 10:00-17:00
שבת: 10:00-23:00",,Y,www.laserstreet.co.il,N,N,32.196130,34.878493
משק לין,"מוצרי גורמה טבעיים, ממרחים,רטבים ",מרכז,מודיעין-מכבים-רעות,הסתת 13,08-9415859,משק חקלאי,צמחוני-טבעוני,"א-ה: 08:00-16:00
שישי: 08:00-16:00
שבת: ",כשר,Y,www.linfarm.co.il,Y,N,31.885234,34.962653
